Stap;Bijbeltekst;Bijbelvertaling;Bijbelvers;Beeld;Bijbeloproep (synopsis);Bronnen;Overige;Muziek
7;Mat 4:17;HSV;Bekeer u, want het Koninkrijk der hemelen is nabijgekomen.;Beeld van iemand die gedoopt wordt;Bekeer u en geloof het evangelie;;;
7;Mar 1:15;HSV;"en Hij zei: De tijd is vervuld en het Koninkrijk van God is nabijgekomen; bekeer u en geloof het Evangelie.";;;;;
7;Mat 12:41;HSV;"De mannen van Ninevé zullen opstaan in het oordeel samen met dit geslacht en zullen het veroordelen, want zij hebben zich bekeerd op de prediking van Jona; en zie, meer dan Jona is hier!";;;;;
7;Luk 13:3;HSV;maar als u zich niet bekeert, zult u allen evenzo omkomen.;;;;;
7;Jes 55:7;HSV;Laat de goddeloze zijn weg verlaten, de man van ongerechtigheid zijn gedachten. Laat hij zich bekeren tot de HEERE, dan zal Hij Zich over hem ontfermen, tot onze God, want Hij vergeeft veelvuldig.;;;;;
7;Han 2:38;HSV;"En Petrus zei tegen hen: Bekeer u en laat ieder van u gedoopt worden in de Naam van Jezus Christus, tot vergeving van de zonden; en u zult de gave van de Heilige Geest ontvangen.";;;;;
7;Han 17:30;HSV;God dan verkondigt, met voorbijzien van de tijden van de onwetendheid, nu overal aan alle mensen dat zij zich moeten bekeren,;;;;;
7;Han 26:20;HSV;maar heb ik eerst aan hen die in Damascus en in Jeruzalem en in heel het land van Judea woonden, en later aan de heidenen verkondigd dat zij tot inkeer moesten komen, zich tot God bekeren en werken doen die in overeenstemming zijn met de bekering.;;;;;
7;Opb 2:5;HSV;Bedenk dan van welke hoogte u bent gevallen en bekeer u en doe de eerste werken. Maar zo niet, dan kom Ik spoedig bij u en zal uw kandelaar van zijn plaats wegnemen, als u zich niet bekeert.;;;;Ook als je weer bent afgedwaald!;
7;Luk 5:32;HSV;Ik ben niet gekomen om rechtvaardigen tot bekering te roepen, maar zondaars.;;;;;
7;Mat 9:13;HSV;"Maar ga heen en leer wat het betekent: Ik wil barmhartigheid en geen offer; want Ik ben niet gekomen om rechtvaardigen tot bekering te roepen, maar zondaars.";;;;;
7;Mat 11:15;HSV;Wie oren heeft om te horen, laat hij horen.;;;;;
7;Mat 16:16;HSV;Simon Petrus antwoordde en zei: U bent de Christus, de Zoon van de levende God. 17. En Jezus antwoordde en zei tegen hem: Zalig bent u, Simon Barjona, want vlees en bloed hebben u dat niet geopenbaard, maar Mijn Vader, Die in de hemelen is.;;;;;
7;Joh 6:69;HSV;En wij hebben geloofd en erkend dat U de Christus bent, de Zoon van de levende God.;;;;;
7;Mar 8:29;HSV;En Hij zei tegen hen: Maar u, wie zegt u dat Ik ben? En Petrus antwoordde en zei tegen Hem: U bent de Christus.;;;;;
7;Luk 9:20;HSV;Hij zei tegen hen: Maar u, wie zegt u dat Ik ben? Petrus antwoordde en zei: De Christus van God.;;;;;
7;Joh 11:25-27;HSV;"Jezus zei tegen haar: Ik ben de Opstanding en het Leven; wie in Mij gelooft, zal leven, ook al was hij gestorven,
26. en ieder die leeft en in Mij gelooft, zal niet sterven in eeuwigheid. Gelooft u dat?
27. Zij zei tegen Hem: Ja, Heere, ik geloof dat U de Christus bent, de Zoon van God, Die in de wereld komen zou.";;;;;
